# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sun Dec 17 16:28:38 2017
#
# COLUMN pl_hostname:    Host Name
# COLUMN pl_letter:      Planet Letter
# COLUMN ra_str:         RA [sexagesimal]
# COLUMN ra:             RA [sexagesimal]
# COLUMN dec_str:        Dec [sexagesimal]
# COLUMN dec:            Dec [sexagesimal]
#
rowid,pl_hostname,pl_letter,ra_str,ra,dec_str,dec
349,HD 141399,d,15h46m53.81s,236.724228,+46d59m10.5s,46.986263
350,HD 141399,e,15h46m53.81s,236.724228,+46d59m10.5s,46.986263
351,HD 141937,b,15h52m17.55s,238.073120,-18d26m09.8s,-18.436066
352,HD 142,b,00h06m19.18s,1.579898,-49d04m30.7s,-49.075191
353,HD 142,c,00h06m19.18s,1.579898,-49d04m30.7s,-49.075191
354,HD 142022 A,b,16h10m15.02s,242.562592,-84d13m53.8s,-84.231613
355,HD 142245,b,15h52m56.28s,238.234497,+15d25m50.5s,15.430708
356,HD 142415,b,15h57m40.79s,239.419968,-60d12m00.9s,-60.200256
357,HD 143105,b,15h53m36.56s,238.402328,+68d43m12.4s,68.720116
358,HD 143361,b,16h01m50.35s,240.459778,-44d26m04.3s,-44.434536
359,HD 145377,b,16h11m36.45s,242.901855,-27d04m41.4s,-27.078173
360,HD 145457,b,16h10m03.91s,242.516312,+26d44m33.9s,26.742750
361,HD 145934,b,16h13m09.87s,243.291140,+13d14m22.1s,13.239476
362,HD 1461,b,00h18m41.87s,4.674448,-08d03m10.8s,-8.053001
363,HD 1461,c,00h18m41.87s,4.674448,-08d03m10.8s,-8.053001
364,HD 147018,b,16h23m00.15s,245.750610,-61d41m19.5s,-61.688763
365,HD 147018,c,16h23m00.15s,245.750610,-61d41m19.5s,-61.688763
366,HD 147513,b,16h24m01.29s,246.005371,-39d11m34.7s,-39.192982
367,HD 147873,b,16h25m45.15s,246.438141,-33d34m01.6s,-33.567120
368,HD 147873,c,16h25m45.15s,246.438141,-33d34m01.6s,-33.567120
369,HD 148156,b,16h28m17.28s,247.072006,-46d19m03.4s,-46.317623
370,HD 148427,b,16h28m28.15s,247.117294,-13d23m58.7s,-13.399640
371,HD 149026,b,16h30m29.62s,247.623413,+38d20m50.3s,38.347309
372,HD 149143,b,16h32m51.05s,248.212708,+02d05m05.4s,2.084832
373,HD 1502,b,00h19m17.07s,4.821110,+14d03m17.1s,14.054755
374,HD 150706,b,16h31m17.59s,247.823273,+79d47m23.2s,79.789772
375,HD 152079,b,16h53m29.74s,253.373901,-46d19m58.6s,-46.332958
376,HD 152581,b,16h53m43.58s,253.431595,+11d58m25.5s,11.973746
377,HD 153950,b,17h04m30.87s,256.128632,-43d18m35.2s,-43.309769
378,HD 154345,b,17h02m36.41s,255.651688,+47d04m54.8s,47.081882
379,HD 154672,b,17h10m04.91s,257.520477,-56d26m57.4s,-56.449268
380,HD 154857,b,17h11m15.73s,257.815521,-56d40m50.9s,-56.680798
381,HD 154857,c,17h11m15.73s,257.815521,-56d40m50.9s,-56.680798
382,HD 155233,b,17h11m04.37s,257.768188,-20d39m16.5s,-20.654570
383,HD 155358,b,17h09m34.61s,257.394226,+33d21m21.1s,33.355854
384,HD 155358,c,17h09m34.61s,257.394226,+33d21m21.1s,33.355854
385,HD 156279,b,17h12m23.20s,258.096680,+63d21m07.5s,63.352093
386,HD 156411,b,17h19m51.40s,259.964172,-48d32m57.6s,-48.549320
387,HD 156668,b,17h17m40.49s,259.418701,+29d13m38.0s,29.227226
388,HD 156846,b,17h20m34.31s,260.142944,-19d20m01.5s,-19.333746
389,HD 158038,b,17h25m45.43s,261.439301,+27d18m12.0s,27.303341
390,HD 159243,b,17h33m21.55s,263.339783,+05d42m02.6s,5.700733
391,HD 159243,c,17h33m21.55s,263.339783,+05d42m02.6s,5.700733
392,HD 159868,b,17h38m59.52s,264.748016,-43d08m43.9s,-43.145515
393,HD 159868,c,17h38m59.52s,264.748016,-43d08m43.9s,-43.145515
394,HD 1605,b,00h20m31.52s,5.131330,+30d58m29.3s,30.974804
395,HD 1605,c,00h20m31.52s,5.131330,+30d58m29.3s,30.974804
396,HD 160691,b,17h44m08.70s,266.036255,-51d50m02.6s,-51.834053
397,HD 160691,c,17h44m08.70s,266.036255,-51d50m02.6s,-51.834053
398,HD 160691,d,17h44m08.70s,266.036255,-51d50m02.6s,-51.834053
399,HD 160691,e,17h44m08.70s,266.036255,-51d50m02.6s,-51.834053
400,HD 16141,b,02h35m19.93s,38.833035,-03d33m38.2s,-3.560602
401,HD 16175,b,02h37m01.91s,39.257961,+42d03m45.5s,42.062634
402,HD 162020,b,17h50m38.36s,267.659821,-40d19m06.1s,-40.318348
403,HD 163607,b,17h53m40.50s,268.418732,+56d23m31.0s,56.391956
404,HD 163607,c,17h53m40.50s,268.418732,+56d23m31.0s,56.391956
405,HD 16417,b,02h36m58.61s,39.244198,-34d34m40.7s,-34.577976
406,HD 164509,b,18h01m31.23s,270.380127,+00d06m16.4s,0.104556
407,HD 164595,b,18h00m38.89s,270.162048,+29d34m18.9s,29.571922
408,HD 164604,b,18h03m06.94s,270.778900,-28d33m38.3s,-28.560644
409,HD 164922,b,18h02m30.86s,270.628601,+26d18m46.8s,26.313002
410,HD 164922,c,18h02m30.86s,270.628601,+26d18m46.8s,26.313002
411,HD 165155,b,18h05m57.35s,271.488953,-29d55m02.1s,-29.917253
412,HD 1666,b,00h20m52.34s,5.218085,-19d55m52.4s,-19.931225
413,HD 166724,b,18h13m59.68s,273.498657,-42d34m31.3s,-42.575375
414,HD 167042,b,18h10m31.64s,272.631836,+54d17m11.6s,54.286552
415,HD 168443,b,18h20m03.93s,275.016388,-09d35m44.6s,-9.595722
416,HD 168443,c,18h20m03.93s,275.016388,-09d35m44.6s,-9.595722
417,HD 168746,b,18h21m49.78s,275.457428,-11d55m21.7s,-11.922684
418,HD 1690,b,00h21m13.32s,5.305497,-08d16m52.2s,-8.281169
419,HD 169830,b,18h27m49.48s,276.956177,-29d49m00.7s,-29.816866
420,HD 169830,c,18h27m49.48s,276.956177,-29d49m00.7s,-29.816866
421,HD 170469,b,18h29m10.98s,277.295746,+11d41m43.8s,11.695502
422,HD 17092,b,02h46m22.11s,41.592117,+49d39m11.1s,49.653076
423,HD 171028,b,18h32m15.49s,278.064527,+06d56m44.7s,6.945743
424,HD 171238,b,18h34m43.67s,278.681976,-28d04m20.3s,-28.072313
425,HD 17156,b,02h49m44.49s,42.435364,+71d45m11.6s,71.753235
426,HD 173416,b,18h43m36.11s,280.900452,+36d33m23.8s,36.556606
427,HD 175167,b,19h00m00.83s,285.003479,-69d56m39.3s,-69.944244
428,HD 175541,b,18h55m40.88s,283.920349,+04d15m55.2s,4.265325
429,HD 175607,b,19h01m05.49s,285.272858,-66d11m33.6s,-66.192680
430,HD 17674,b,02h51m04.28s,42.767853,+30d17m12.3s,30.286739
431,HD 177565,b,19h06m52.46s,286.718597,-37d48m38.4s,-37.810658
432,HD 177830,b,19h05m20.77s,286.336548,+25d55m14.4s,25.920660
433,HD 177830,c,19h05m20.77s,286.336548,+25d55m14.4s,25.920660
434,HD 178911 B,b,19h09m03.11s,287.262939,+34d35m59.5s,34.599850
435,HD 179079,b,19h11m09.83s,287.790955,-02d38m18.2s,-2.638385
436,HD 179949,b,19h15m33.23s,288.888458,-24d10m45.7s,-24.179352
437,HD 180314,b,19h14m50.21s,288.709198,+31d51m37.3s,31.860350
438,HD 180902,b,19h19m17.71s,289.823792,-23d33m29.4s,-23.558155
439,HD 181342,b,19h21m04.23s,290.267639,-23d37m10.5s,-23.619572
440,HD 181433,b,19h25m09.57s,291.289856,-66d28m07.7s,-66.468796
441,HD 181433,c,19h25m09.57s,291.289856,-66d28m07.7s,-66.468796
442,HD 181433,d,19h25m09.57s,291.289856,-66d28m07.7s,-66.468796
443,HD 181720,b,19h22m52.98s,290.720764,-32d55m08.6s,-32.919056
444,HD 183263,b,19h28m24.57s,292.102386,+08d21m29.0s,8.358054
445,HD 183263,c,19h28m24.57s,292.102386,+08d21m29.0s,8.358054
446,HD 185269,b,19h37m11.74s,294.298920,+28d29m59.5s,28.499865
447,HD 187085,b,19h49m33.97s,297.391541,-37d46m50.0s,-37.780552
448,HD 187123,b,19h46m58.11s,296.742126,+34d25m10.3s,34.419525
449,HD 187123,c,19h46m58.11s,296.742126,+34d25m10.3s,34.419525
450,HD 18742,b,03h00m10.66s,45.044407,-20d48m09.4s,-20.802603
451,HD 188015,b,19h52m04.54s,298.018921,+28d06m01.4s,28.100376
452,HD 189733,b,20h00m43.71s,300.182129,+22d42m39.1s,22.710854
453,HD 190360,b,20h03m37.40s,300.905853,+29d53m48.5s,29.896805
454,HD 190360,c,20h03m37.40s,300.905853,+29d53m48.5s,29.896805
455,HD 190647,b,20h07m19.67s,301.831970,-35d32m19.1s,-35.538631
456,HD 190984,b,20h11m30.72s,302.877991,-64d37m13.7s,-64.620468
457,HD 191806,b,20h09m28.31s,302.367950,+52d16m34.8s,52.276329
458,HD 192263,b,20h13m59.85s,303.499359,-00d52m00.8s,-0.866877
459,HD 192310,b,20h15m17.39s,303.822449,-27d01m58.7s,-27.032976
460,HD 192310,c,20h15m17.39s,303.822449,-27d01m58.7s,-27.032976
461,HD 192699,b,20h16m06.01s,304.025024,+04d34m50.9s,4.580795
462,HD 195019,b,20h28m18.63s,307.077637,+18d46m10.2s,18.769497
463,HD 196050,b,20h37m51.71s,309.465454,-60d38m04.1s,-60.634483
464,HD 196067,b,20h41m44.09s,310.433716,-75d21m02.9s,-75.350800
465,HD 196885,b,20h39m51.88s,309.966156,+11d14m58.7s,11.249649
466,HD 197037,b,20h39m32.96s,309.887329,+42d14m54.8s,42.248550
467,HD 19994,b,03h12m46.44s,48.193485,-01d11m46.0s,-1.196101
468,HD 200964,b,21h06m39.84s,316.666016,+03d48m11.2s,3.803119
469,HD 200964,c,21h06m39.84s,316.666016,+03d48m11.2s,3.803119
470,HD 202206,b,21h14m57.77s,318.740692,-20d47m21.2s,-20.789209
471,HD 202206,c,21h14m57.77s,318.740692,-20d47m21.2s,-20.789209
472,HD 203030,b,21h18m58.22s,319.742584,+26d13m50.0s,26.230545
473,HD 2039,b,00h24m20.28s,6.084491,-56d39m00.2s,-56.650047
474,HD 204313,b,21h28m12.21s,322.050873,-21d43m34.5s,-21.726255
475,HD 204313,c,21h28m12.21s,322.050873,-21d43m34.5s,-21.726255
476,HD 204941,b,21h32m23.51s,323.097961,-20d57m26.7s,-20.957422
477,HD 205739,b,21h38m08.41s,324.535034,-31d44m14.9s,-31.737484
478,HD 206610,b,21h43m24.90s,325.853760,-07d24m29.7s,-7.408253
479,HD 20782,b,03h20m03.58s,50.014908,-28d51m14.7s,-28.854071
480,HD 207832,b,21h52m36.28s,328.151184,-26d01m35.6s,-26.026560
481,HD 207832,c,21h52m36.28s,328.151184,-26d01m35.6s,-26.026560
482,HD 20794,b,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782
483,HD 20794,c,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782
484,HD 20794,d,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782
485,HD 20794,e,03h19m55.65s,49.981876,-43d04m11.2s,-43.069782
486,HD 208487,b,21h57m19.85s,329.332703,-37d45m49.0s,-37.763622
487,HD 208527,b,21h56m23.99s,329.099945,+21d14m23.5s,21.239859
488,HD 20868,b,03h20m42.69s,50.177895,-33d43m48.4s,-33.730103
489,HD 208897,b,21h58m59.69s,329.748718,+19d01m13.1s,19.020302
490,HD 209458,b,22h03m10.77s,330.794891,+18d53m03.5s,18.884319
491,HD 210277,b,22h09m29.87s,332.374451,-07d32m55.2s,-7.548654
492,HD 210702,b,22h11m51.33s,332.963867,+16d02m26.0s,16.040550
493,HD 212301,b,22h27m30.92s,336.878845,-77d43m04.5s,-77.717926
494,HD 212771,b,22h27m03.07s,336.762787,-17d15m49.2s,-17.263659
495,HD 213240,b,22h31m00.37s,337.751526,-49d25m59.8s,-49.433270
496,HD 214823,b,22h40m19.87s,340.082794,+31d47m15.3s,31.787594
497,HD 215497,b,22h46m36.75s,341.653137,-56d35m58.3s,-56.599533
498,HD 215497,c,22h46m36.75s,341.653137,-56d35m58.3s,-56.599533
499,HD 216435,b,22h53m37.93s,343.408051,-48d35m53.8s,-48.598286
500,HD 216437,b,22h54m39.48s,343.664520,-70d04m25.3s,-70.073708
501,HD 216536,b,22h53m03.98s,343.266598,+44d28m39.9s,44.477753
502,HD 216770,b,22h55m53.71s,343.973785,-26d39m31.5s,-26.658764
503,HD 217107,b,22h58m15.54s,344.564758,-02d23m43.4s,-2.395385
504,HD 217107,c,22h58m15.54s,344.564758,-02d23m43.4s,-2.395385
505,HD 217786,b,23h03m08.20s,345.784180,-00d25m46.6s,-0.429622
506,HD 218566,b,23h09m10.73s,347.294708,-02d15m38.7s,-2.260742
507,HD 219077,b,23h14m06.58s,348.527435,-62d42m00.0s,-62.700005
508,HD 219134,b,23h13m16.98s,348.320740,+57d10m06.1s,57.168354
509,HD 219134,c,23h13m16.98s,348.320740,+57d10m06.1s,57.168354
510,HD 219134,d,23h13m16.98s,348.320740,+57d10m06.1s,57.168354
511,HD 219134,f,23h13m16.98s,348.320740,+57d10m06.1s,57.168354
512,HD 219134,g,23h13m16.98s,348.320740,+57d10m06.1s,57.168354
513,HD 219134,h,23h13m16.98s,348.320740,+57d10m06.1s,57.168354
514,HD 219415,b,23h14m53.83s,348.724278,+56d43m49.2s,56.730328
515,HD 219828,b,23h18m46.74s,349.694733,+18d38m44.6s,18.645720
516,HD 219828,c,23h18m46.74s,349.694733,+18d38m44.6s,18.645720
517,HD 220074,b,23h20m14.38s,350.059906,+61d58m12.5s,61.970127
518,HD 220689,b,23h25m52.99s,351.470795,-20d36m57.7s,-20.616030
519,HD 220773,b,23h26m27.44s,351.614349,+08d38m37.8s,8.643845
520,HD 220842,b,23h26m36.99s,351.654114,+56d53m11.5s,56.886528
521,HD 221287,b,23h31m20.34s,352.834747,-58d12m35.0s,-58.209732
522,HD 221585,b,23h32m54.05s,353.225189,+63d09m19.7s,63.155483
523,HD 222076,b,23h38m07.95s,354.533112,-70d54m12.1s,-70.903358
524,HD 222155,b,23h38m00.31s,354.501282,+48d59m47.5s,48.996521
525,HD 222582,b,23h41m51.53s,355.464722,-05d59m08.7s,-5.985757
526,HD 224538,b,23h58m51.76s,359.715668,-61d35m12.4s,-61.586773
527,HD 224693,b,23h59m53.83s,359.974304,-22d25m41.2s,-22.428114
528,HD 22781,b,03h40m49.53s,55.206356,+31d49m34.6s,31.826290
529,HD 23079,b,03h39m43.09s,54.929562,-52d54m57.0s,-52.915836
530,HD 23127,b,03h39m23.64s,54.848495,-60d04m40.2s,-60.077843
531,HD 231701,b,19h32m04.16s,293.017334,+16d28m27.4s,16.474291
532,HD 233604,b,09h09m48.81s,137.453380,+53d34m05.6s,53.568230
533,HD 23596,b,03h48m00.37s,57.001556,+40d31m50.3s,40.530636
534,HD 240210,b,23h10m29.23s,347.621792,+57d01m46.0s,57.029456
535,HD 240237,b,23h15m42.22s,348.925934,+58d02m35.7s,58.043240
536,HD 24040,b,03h50m22.97s,57.595699,+17d28m34.9s,17.476366
537,HD 24064,b,03h56m36.30s,59.151241,+74d04m48.1s,74.080032
538,HD 25171,b,03h55m49.44s,58.956001,-65d11m12.0s,-65.186676
539,HD 2638,b,00h29m59.87s,7.499466,-05d45m50.4s,-5.764002
540,HD 27442,b,04h16m29.03s,64.120956,-59d18m07.8s,-59.302155
541,HD 27631,b,04h19m45.47s,64.939461,-41d57m37.0s,-41.960266
542,HD 27894,b,04h20m47.05s,65.196030,-59d24m39.0s,-59.410835
543,HD 27894,c,04h20m47.05s,65.196030,-59d24m39.0s,-59.410835
544,HD 27894,d,04h20m47.05s,65.196030,-59d24m39.0s,-59.410835
545,HD 28185,b,04h26m26.32s,66.609673,-10d33m03.0s,-10.550821
546,HD 28254,b,04h24m50.71s,66.211273,-50d37m19.9s,-50.622192
547,HD 285507,b,04h07m01.22s,61.755104,+15d20m06.1s,15.335032
548,HD 285968,b,04h42m55.78s,70.732407,+18d57m29.4s,18.958172
549,HD 28678,b,04h31m25.45s,67.856056,+04d34m31.0s,4.575287
550,HD 29021,b,04h37m52.22s,69.467590,+60d40m34.3s,60.676197
551,HD 290327,b,05h23m21.56s,80.839851,-02d16m39.4s,-2.277619
552,HD 2952,b,00h33m10.39s,8.293311,+54d53m41.9s,54.894985
553,HD 30177,b,04h41m54.37s,70.476555,-58d01m14.7s,-58.020756
554,HD 30177,c,04h41m54.37s,70.476555,-58d01m14.7s,-58.020756
555,HD 30562,b,04h48m36.38s,72.151604,-05d40m26.6s,-5.674045
556,HD 30669,b,04h48m28.49s,72.118690,-28d25m09.5s,-28.419298
557,HD 30856,b,04h50m17.86s,72.574425,-24d22m07.8s,-24.368839
558,HD 31253,b,04h54m43.65s,73.681892,+12d21m07.9s,12.352201
559,HD 3167,b,00h34m57.52s,8.739684,+04d22m53.3s,4.381469
560,HD 3167,c,00h34m57.52s,8.739684,+04d22m53.3s,4.381469
561,HD 3167,d,00h34m57.52s,8.739684,+04d22m53.3s,4.381469
562,HD 32518,b,05h09m36.72s,77.403000,+69d38m21.9s,69.639404
563,HD 32963,b,05h07m55.76s,76.982353,+26d19m40.7s,26.327963
564,HD 330075,b,15h49m37.69s,237.407043,-49d57m48.7s,-49.963524
565,HD 33142,b,05h07m35.54s,76.898087,-13d59m11.3s,-13.986480
566,HD 33283,b,05h08m01.01s,77.004219,-26d47m50.9s,-26.797472
567,HD 33564,b,05h22m33.53s,80.639717,+79d13m52.1s,79.231148
568,HD 33844,b,05h12m36.10s,78.150421,-14d57m04.0s,-14.951111
569,HD 33844,c,05h12m36.10s,78.150421,-14d57m04.0s,-14.951111
570,HD 34445,b,05h17m40.98s,79.420746,+07d21m12.0s,7.353343
571,HD 34445,c,05h17m40.98s,79.420746,+07d21m12.0s,7.353343
572,HD 34445,d,05h17m40.98s,79.420746,+07d21m12.0s,7.353343
573,HD 34445,e,05h17m40.98s,79.420746,+07d21m12.0s,7.353343
574,HD 34445,f,05h17m40.98s,79.420746,+07d21m12.0s,7.353343
575,HD 34445,g,05h17m40.98s,79.420746,+07d21m12.0s,7.353343
576,HD 35759,b,05h31m33.35s,82.888962,+64d19m07.6s,64.318779
577,HD 3651,b,00h39m21.81s,9.840858,+21d15m01.7s,21.250473
578,HD 37124,b,05h37m02.49s,84.260361,+20d43m50.8s,20.730787
579,HD 37124,c,05h37m02.49s,84.260361,+20d43m50.8s,20.730787
580,HD 37124,d,05h37m02.49s,84.260361,+20d43m50.8s,20.730787
581,HD 37605,b,05h40m01.73s,85.007210,+06d03m38.1s,6.060579
582,HD 37605,c,05h40m01.73s,85.007210,+06d03m38.1s,6.060579
583,HD 38283,b,05h37m02.02s,84.258408,-73d41m57.6s,-73.699341
584,HD 38529,b,05h46m34.91s,86.645470,+01d10m05.5s,1.168193
585,HD 38529,c,05h46m34.91s,86.645470,+01d10m05.5s,1.168193
586,HD 38801,b,05h47m59.18s,86.996567,-08d19m39.7s,-8.327700
587,HD 39091,b,05h37m09.89s,84.291214,-80d28m08.8s,-80.469124
588,HD 40307,b,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472
589,HD 40307,c,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472
590,HD 40307,d,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472
591,HD 40307,f,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472
592,HD 40307,g,05h54m04.24s,88.517670,-60d01m24.5s,-60.023472
593,HD 40956,b,06h06m39.16s,91.663147,+63d27m13.8s,63.453838
594,HD 40979,b,06h04m29.94s,91.124763,+44d15m37.6s,44.260445
595,HD 41004 A,b,05h59m49.65s,89.956871,-48d14m22.9s,-48.239693
596,HD 41004 B,b,05h59m49.65s,89.956886,-48d14m23.4s,-48.239841
597,HD 4113,b,00h43m12.60s,10.802486,-37d58m57.5s,-37.982632
598,HD 42012,b,06h09m56.47s,92.485275,+34d08m07.1s,34.135300
599,HD 4203,b,00h44m41.20s,11.171676,+20d26m56.1s,20.448927
600,HD 4203,c,00h44m41.20s,11.171676,+20d26m56.1s,20.448927
601,HD 4208,b,00h44m26.65s,11.111043,-26d30m56.4s,-26.515680
602,HD 42618,b,06h12m00.57s,93.002357,+06d46m59.1s,6.783074
603,HD 4308,b,00h44m39.27s,11.163615,-65d38m58.3s,-65.649521
604,HD 4313,b,00h45m40.36s,11.418160,+07d50m42.1s,7.845021
605,HD 43197,b,06h13m35.66s,93.398590,-29d53m50.2s,-29.897270
606,HD 43691,b,06h19m34.68s,94.894485,+41d05m32.3s,41.092304
607,HD 44219,b,06h20m14.32s,95.059677,-10d43m30.0s,-10.725009
608,HD 45350,b,06h28m45.71s,97.190460,+38d57m46.7s,38.962963
609,HD 45364,b,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953
610,HD 45364,c,06h25m38.48s,96.410316,-31d28m51.4s,-31.480953
611,HD 45652,b,06h29m13.19s,97.304962,+10d56m02.0s,10.933891
612,HD 46375,b,06h33m12.62s,98.302597,+05d27m46.5s,5.462925
