rowid,pl_hostname,pl_letter,ra_str,ra,dec_str,dec,con
1,11 Com,b,12h20m43.03s,12.345285066666666,+17d47m34.3s,17.792868,COM
2,11 UMi,b,15h17m05.89s,15.284969066666665,+71d49m26.0s,71.823898,UMI
3,14 And,b,23h31m17.42s,23.52150473333333,+39d14m10.3s,39.236198,AND
4,14 Her,b,16h10m24.31s,16.1734202,+43d49m03.5s,43.817646,HER
5,16 Cyg B,b,19h41m51.97s,19.6977702,+50d31m03.1s,50.517525,CYG
6,18 Del,b,20h58m25.94s,20.973870866666672,+10d50m21.4s,10.839286,DEL
7,1RXS J160929.1-210524,b,16h09m30.30s,16.158417866666667,-21d04m58.9s,-21.083036,SCO
8,24 Sex,b,10h23m28.37s,10.391214,-00d54m08.1s,-0.902244,SEX
9,24 Sex,c,10h23m28.37s,10.391214,-00d54m08.1s,-0.902244,SEX
10,2MASS J01225093-2439505,b,01h22m50.94s,1.3808162,-24d39m50.6s,-24.664049,CET
11,2MASS J02192210-3925225,b,02h19m22.11s,2.322807066666667,-39d25m22.5s,-39.42292800000001,FOR+PHE
12,2MASS J04414489+2301513,b,04h41m44.90s,4.695804866666666,+23d01m51.4s,23.030941000000002,TAU
13,2MASS J12073346-3932539,b,12h07m33.47s,12.125963133333332,-39d32m54.0s,-39.548332,CEN
14,2MASS J19383260+4603591,b,19h38m32.61s,19.642391,+46d03m59.1s,46.066418,CYG
15,2MASS J21402931+1625183 A,b,21h40m29.32s,21.674810600000004,+16d25m18.3s,16.421758999999998,PEG
16,2MASS J22362452+4751425,b,22h36m24.53s,22.60681353333333,+47d51m42.6s,47.86182,LAC
17,30 Ari B,b,02h36m57.74s,2.616039,+24d38m53.0s,24.648064,ARI
18,4 UMa,b,08h40m12.82s,8.670227066666666,+64d19m40.6s,64.327934,UMA
19,42 Dra,b,18h25m59.14s,18.433093266666667,+65d33m48.5s,65.563484,DRA
20,47 UMa,b,10h59m27.97s,10.991104133333335,+40d25m48.9s,40.430256,UMA
21,47 UMa,c,10h59m27.97s,10.991104133333335,+40d25m48.9s,40.430256,UMA
22,47 UMa,d,10h59m27.97s,10.991104133333335,+40d25m48.9s,40.430256,UMA
23,51 Eri,b,04h37m36.13s,4.626703400000001,-02d28m24.8s,-2.473548,ERI
24,51 Peg,b,22h57m27.98s,22.9577718,+20d46m07.8s,20.768832999999997,PEG
25,55 Cnc,b,08h52m35.81s,8.8766144,+28d19m50.9s,28.330818,CNC
26,55 Cnc,c,08h52m35.81s,8.8766144,+28d19m50.9s,28.330818,CNC
27,55 Cnc,d,08h52m35.81s,8.8766144,+28d19m50.9s,28.330818,CNC
28,55 Cnc,e,08h52m35.81s,8.8766144,+28d19m50.9s,28.330818,CNC
29,55 Cnc,f,08h52m35.81s,8.8766144,+28d19m50.9s,28.330818,CNC
30,6 Lyn,b,06h30m47.11s,6.5130854000000005,+58d09m45.5s,58.162631999999995,LYN
31,61 Vir,b,13h18m24.32s,13.306754533333333,-18d18m40.3s,-18.311195,VIR
32,61 Vir,c,13h18m24.32s,13.306754533333333,-18d18m40.3s,-18.311195,VIR
33,61 Vir,d,13h18m24.32s,13.306754533333333,-18d18m40.3s,-18.311195,VIR
34,7 CMa,b,06h36m41.04s,6.611399333333334,-19d15m21.2s,-19.255878,CMA
35,70 Vir,b,13h28m25.81s,13.473836266666664,+13d46m43.6s,13.778788,VIR
36,75 Cet,b,02h32m09.42s,2.5359502000000003,-01d02m05.6s,-1.0348959999999998,CET
37,8 UMi,b,14h56m48.35s,14.946765133333335,+74d54m03.3s,74.900925,UMI
38,81 Cet,b,02h37m41.80s,2.628277866666666,-03d23m46.2s,-3.396175,CET
39,91 Aqr,b,23h15m53.50s,23.26486,-09d05m15.9s,-9.087736999999999,AQR
40,AB Pic,b,06h19m12.91s,6.320253466666667,-58d03m15.5s,-58.05431,PIC
41,BD+03 2562,b,11h50m15.55s,11.8376536,+02d45m36.5s,2.7601419999999997,VIR
42,BD+14 4559,b,21h13m35.99s,21.2266642,+14d41m21.8s,14.689387,PEG
43,BD+15 2375,b,11h45m55.72s,11.765478266666666,+14d36m59.0s,14.616381,LEO
44,BD+15 2940,b,16h00m22.94s,16.006371066666667,+15d32m48.9s,15.54693,SER1
45,BD+20 1790,b,07h23m43.59s,7.395440800000001,+20d24m58.8s,20.416334,GEM
46,BD+20 2457,b,10h16m44.86s,10.279127333333333,+19d53m29.1s,19.891409,LEO
47,BD+20 2457,c,10h16m44.86s,10.279127333333333,+19d53m29.1s,19.891409,LEO
48,BD+20 274,b,01h43m40.88s,1.7280216,+21d00m19.1s,21.005314000000002,PSC
49,BD+20 594,b,03h34m36.23s,3.5767311333333334,+20d35m57.2s,20.599232,TAU
50,BD+48 738,b,02h42m50.45s,2.714014933333333,+49d35m13.1s,49.58696,PER
51,BD+49 828,b,03h02m33.73s,3.0427019333333334,+49d43m48.0s,49.730011,PER
52,BD-06 1339,b,05h53m00.28s,5.8834122,-05d59m41.4s,-5.9948440000000005,ORI
53,BD-06 1339,c,05h53m00.28s,5.8834122,-05d59m41.4s,-5.9948440000000005,ORI
54,BD-08 2823,b,10h00m47.72s,10.0132558,-09d31m00.0s,-9.516680000000001,SEX
55,BD-08 2823,c,10h00m47.72s,10.0132558,-09d31m00.0s,-9.516680000000001,SEX
56,BD-10 3166,b,10h58m28.80s,10.974666866666665,-10d46m13.4s,-10.770375999999999,CRT
57,BD-11 4672,b,18h33m28.84s,18.558009866666666,-11d38m09.7s,-11.636039,SCT
58,BD-13 2130,b,07h37m09.23s,7.619230533333334,-13d54m23.9s,-13.906639000000002,PUP
59,BD-17 63,b,00h28m34.31s,0.4761961333333333,-16d13m34.8s,-16.226345000000002,CET
60,CFBDSIR J145829+101343,b,14h58m29.00s,14.9747222,+10d13m43.0s,10.228611,BOO
61,CHXR 73,b,11h06m28.77s,11.107992866666667,-77d37m33.2s,-77.625877,CHA
62,CT Cha,b,11h04m09.09s,11.0691918,-76d27m19.4s,-76.455383,CHA
63,CoRoT-1,b,06h48m19.17s,6.805325666666668,-03d06m07.7s,-3.102147,MON
64,CoRoT-10,b,19h24m15.29s,19.4042472,+00d44m46.1s,0.746143,AQL
65,CoRoT-11,b,18h42m44.94s,18.7124842,+05d56m15.7s,5.937688,SER2
66,CoRoT-12,b,06h43m03.76s,6.7177118,-01d17m47.2s,-1.296439,MON
67,CoRoT-13,b,06h50m53.07s,6.8480758,-05d05m11.2s,-5.086444999999999,MON
68,CoRoT-14,b,06h53m41.81s,6.8949474,-05d32m09.7s,-5.536037,MON
69,CoRoT-16,b,18h34m05.93s,18.568312733333336,-06d00m09.3s,-6.0025949999999995,SCT
70,CoRoT-17,b,18h34m47.82s,18.579950266666668,-06d36m44.0s,-6.612234,SCT
71,CoRoT-18,b,06h32m41.38s,6.544827333333332,-00d01m53.7s,-0.031586,MON
72,CoRoT-19,b,06h28m08.06s,6.4689054666666665,-00d10m14.5s,-0.170681,MON
73,CoRoT-2,b,19h27m06.49s,19.45180373333333,+01d23m01.4s,1.3837139999999999,AQL
74,CoRoT-20,b,06h30m52.90s,6.514693866666666,+00d13m36.9s,0.226919,MON
75,CoRoT-22,b,18h42m40.11s,18.711141,+06d13m08.9s,6.219136,SER2
76,CoRoT-23,b,18h39m07.83s,18.652174333333328,+04d21m28.1s,4.357806,SER2
77,CoRoT-24,b,06h47m41.41s,6.794836466666666,-03d43m09.5s,-3.719301,MON
78,CoRoT-24,c,06h47m41.41s,6.794836466666666,-03d43m09.5s,-3.719301,MON
79,CoRoT-25,b,18h42m31.12s,18.708644133333333,+06d30m49.8s,6.513829,OPH
80,CoRoT-26,b,18h39m00.12s,18.650034266666665,+06d58m11.2s,6.9697869999999975,OPH
81,CoRoT-27,b,18h33m59.00s,18.566387533333334,+05d32m18.5s,5.538462,SER2
82,CoRoT-28,b,18h34m45.20s,18.579222533333333,+05d34m25.4s,5.57373,SER2
83,CoRoT-29,b,18h35m36.50s,18.593473533333327,+06d28m46.7s,6.4796510000000005,OPH
84,CoRoT-3,b,19h28m13.26s,19.470350866666664,+00d07m18.6s,0.12182,AQL
85,CoRoT-4,b,06h48m46.72s,6.812977533333334,-00d40m22.0s,-0.672774,MON
86,CoRoT-5,b,06h45m06.54s,6.751816933333332,+00d48m54.9s,0.815239,MON
87,CoRoT-6,b,18h44m17.41s,18.738168333333327,+06d39m47.5s,6.663194,OPH
88,CoRoT-7,b,06h43m49.47s,6.730408333333332,-01d03m46.9s,-1.063033,MON
89,CoRoT-7,c,06h43m49.47s,6.730408333333332,-01d03m46.9s,-1.063033,MON
90,CoRoT-8,b,19h26m21.24s,19.439234533333334,+01d25m35.2s,1.426452,AQL
91,CoRoT-9,b,18h43m08.81s,18.719114133333328,+06d12m15.0s,6.204172,SER2
92,CoRoTID 223977153,b,06h40m46.84s,6.679678866666666,+09d15m26.8s,9.257431,MON
93,DENIS-P J082303.1-491201,b,08h23m03.13s,8.384203333333334,-49d12m01.3s,-49.20035900000001,VEL
94,DH Tau,b,04h29m41.56s,4.4948772,+26d32m58.3s,26.54952,TAU
95,DP Leo,b,11h17m16.00s,11.2877778,+17d57m41.1s,17.961417,LEO
96,EPIC 211822797,b,08h41m38.49s,8.694024666666667,+17d38m24.0s,17.640005,CNC
97,EPIC 220674823,b,00h52m19.15s,0.8719853333333333,+10d47m40.9s,10.794699000000001,PSC
98,EPIC 220674823,c,00h52m19.15s,0.8719853333333333,+10d47m40.9s,10.794699000000001,PSC
99,FU Tau,b,04h23m35.74s,4.393260533333333,+25d02m59.6s,25.049898000000002,TAU
100,Fomalhaut,b,22h57m39.05s,22.96084593333333,-29d37m20.1s,-29.622235999999997,PSA
101,GJ 1132,b,10h14m51.78s,10.247715800000002,-47d09m24.2s,-47.156727000000004,VEL
102,GJ 1148,b,11h41m44.63s,11.695731599999998,+42d45m07.1s,42.751971999999995,UMA
103,GJ 1148,c,11h41m44.63s,11.695731599999998,+42d45m07.1s,42.751971999999995,UMA
104,GJ 1214,b,17h15m18.92s,17.2552558,+04d57m50.1s,4.96392,OPH
105,GJ 15 A,b,00h18m22.89s,0.3063570666666666,+44d01m22.6s,44.022953,AND
106,GJ 163,b,04h09m15.67s,4.154351533333333,-53d22m25.3s,-53.373699,DOR
107,GJ 163,c,04h09m15.67s,4.154351533333333,-53d22m25.3s,-53.373699,DOR
108,GJ 163,d,04h09m15.67s,4.154351533333333,-53d22m25.3s,-53.373699,DOR
109,GJ 179,b,04h52m05.73s,4.868257666666667,+06d28m35.5s,6.476539,ORI
110,GJ 273,b,07h27m24.50s,7.4568054,+05d13m32.8s,5.225785,CMI
111,GJ 273,c,07h27m24.50s,7.4568054,+05d13m32.8s,5.225785,CMI
112,GJ 3021,b,00h16m12.68s,0.2701882,-79d51m04.3s,-79.85118100000003,HYI
113,GJ 3138,b,02h09m10.90s,2.1530283333333333,-16d20m22.5s,-16.339592,CET
114,GJ 3138,c,02h09m10.90s,2.1530283333333333,-16d20m22.5s,-16.339592,CET
115,GJ 3138,d,02h09m10.90s,2.1530283333333333,-16d20m22.5s,-16.339592,CET
116,GJ 317,b,08h40m59.22s,8.683115333333333,-23d27m22.6s,-23.456289,PYX
117,GJ 328,b,08h55m07.62s,8.918783600000003,+01d32m47.4s,1.546508,HYA
118,GJ 3293,b,04h28m35.72s,4.476588,-25d10m09.5s,-25.169301,ERI
119,GJ 3293,c,04h28m35.72s,4.476588,-25d10m09.5s,-25.169301,ERI
120,GJ 3293,d,04h28m35.72s,4.476588,-25d10m09.5s,-25.169301,ERI
121,GJ 3293,e,04h28m35.72s,4.476588,-25d10m09.5s,-25.169301,ERI
122,GJ 3323,b,05h01m57.43s,5.032618666666667,-06d56m46.5s,-6.946263,ERI
123,GJ 3323,c,05h01m57.43s,5.032618666666667,-06d56m46.5s,-6.946263,ERI
124,GJ 3341,b,05h15m46.72s,5.262977533333333,-31d17m45.4s,-31.295951000000002,COL
125,GJ 3470,b,07h59m05.84s,7.9849565999999985,+15d23m29.4s,15.391492000000001,CNC
126,GJ 3634,b,10h58m35.10s,10.976416133333334,-31d08m38.4s,-31.143989,HYA
127,GJ 3998,b,17h16m00.64s,17.266843666666666,+11d03m27.6s,11.057666000000001,OPH
128,GJ 3998,c,17h16m00.64s,17.266843666666666,+11d03m27.6s,11.057666000000001,OPH
129,GJ 433,b,11h35m26.95s,11.590819266666665,-32d32m23.9s,-32.539970000000004,HYA
130,GJ 436,b,11h42m11.09s,11.703081266666667,+26d42m23.7s,26.70657000000001,LEO
131,GJ 504,b,13h16m46.52s,13.2795878,+09d25m27.0s,9.424156,VIR
132,GJ 536,b,14h01m03.19s,14.017552666666665,-02d39m17.5s,-2.654864,VIR
133,GJ 581,b,15h19m26.82s,15.324118066666667,-07d43m20.2s,-7.7222800000000005,LIB
134,GJ 581,c,15h19m26.82s,15.324118066666667,-07d43m20.2s,-7.7222800000000005,LIB
135,GJ 581,e,15h19m26.82s,15.324118066666667,-07d43m20.2s,-7.7222800000000005,LIB
136,GJ 625,b,16h25m24.62s,16.423506666666665,+54d18m14.8s,54.304104,DRA
137,GJ 649,b,16h58m08.85s,16.96912533333333,+25d44m39.0s,25.74416,HER
138,GJ 667 C,b,17h18m58.82s,17.316339000000006,-34d59m48.6s,-34.996827,SCO
139,GJ 667 C,c,17h18m58.82s,17.316339000000006,-34d59m48.6s,-34.996827,SCO
140,GJ 667 C,e,17h18m58.82s,17.316339000000006,-34d59m48.6s,-34.996827,SCO
141,GJ 667 C,f,17h18m58.82s,17.316339000000006,-34d59m48.6s,-34.996827,SCO
142,GJ 667 C,g,17h18m58.82s,17.316339000000006,-34d59m48.6s,-34.996827,SCO
143,GJ 674,b,17h28m39.95s,17.477762866666666,-46d53m42.7s,-46.895191,ARA
144,GJ 676 A,b,17h30m11.21s,17.5031128,-51d38m13.1s,-51.636978000000006,ARA
145,GJ 676 A,c,17h30m11.21s,17.5031128,-51d38m13.1s,-51.636978000000006,ARA
146,GJ 676 A,d,17h30m11.21s,17.5031128,-51d38m13.1s,-51.636978000000006,ARA
147,GJ 676 A,e,17h30m11.21s,17.5031128,-51d38m13.1s,-51.636978000000006,ARA
148,GJ 687,b,17h36m25.90s,17.607194,+68d20m20.9s,68.33914200000001,DRA
149,GJ 832,b,21h33m33.98s,21.559438066666665,-49d00m32.4s,-49.009006,GRU
150,GJ 832,c,21h33m33.98s,21.559438066666665,-49d00m32.4s,-49.009006,GRU
151,GJ 849,b,22h09m40.35s,22.16120806666667,-04d38m26.6s,-4.640729,AQR
152,GJ 86,b,02h10m25.93s,2.1738706000000003,-50d49m25.4s,-50.823723,ERI
153,GJ 876,b,22h53m16.74s,22.8879822,-14d15m49.3s,-14.2637,AQR
154,GJ 876,c,22h53m16.74s,22.8879822,-14d15m49.3s,-14.2637,AQR
155,GJ 876,d,22h53m16.74s,22.8879822,-14d15m49.3s,-14.2637,AQR
156,GJ 876,e,22h53m16.74s,22.8879822,-14d15m49.3s,-14.2637,AQR
157,GQ Lup,b,15h49m12.10s,15.820028466666667,-35d39m05.1s,-35.651421,LUP
158,GSC 06214-00210,b,16h21m54.67s,16.36518533333333,-20d43m09.1s,-20.719202,SCO
159,GU Psc,b,01h12m35.04s,1.2097337333333331,+17d03m55.7s,17.065475,PSC
160,HAT-P-1,b,22h57m46.83s,22.96300693333333,+38d40m29.8s,38.674953,AND+LAC
161,HAT-P-11,b,19h50m50.24s,19.847290066666666,+48d04m51.1s,48.080856,CYG
162,HAT-P-12,b,13h57m33.48s,13.959299266666667,+43d29m36.7s,43.493534000000004,CVN
163,HAT-P-13,b,08h39m31.81s,8.658835733333332,+47d21m07.4s,47.352051,UMA
164,HAT-P-13,c,08h39m31.81s,8.658835733333332,+47d21m07.4s,47.352051,UMA
165,HAT-P-14,b,17h20m27.88s,17.341077933333334,+38d14m31.8s,38.242165,HER
166,HAT-P-15,b,04h24m59.53s,4.4165350666666665,+39d27m38.3s,39.460636,PER
167,HAT-P-16,b,00h38m17.56s,0.6382120666666666,+42d27m47.1s,42.463078,AND
168,HAT-P-17,b,21h38m08.74s,21.63575973333333,+30d29m19.4s,30.488715999999997,CYG
169,HAT-P-17,c,21h38m08.74s,21.63575973333333,+30d29m19.4s,30.488715999999997,CYG
170,HAT-P-18,b,17h05m23.15s,17.089764866666666,+33d00m45.0s,33.012512,HER
171,HAT-P-19,b,00h38m04.02s,0.6344494666666667,+34d42m41.7s,34.711575,AND
172,HAT-P-2,b,16h20m36.36s,16.3434326,+41d02m53.1s,41.048084,HER
173,HAT-P-20,b,07h27m39.95s,7.461097933333333,+24d20m11.9s,24.33663,GEM
174,HAT-P-21,b,11h25m05.99s,11.418330333333332,+41d01m40.6s,41.027954,UMA
175,HAT-P-22,b,10h22m43.61s,10.378781266666666,+50d07m42.0s,50.128345,UMA
176,HAT-P-23,b,20h24m29.72s,20.408256933333334,+16d45m43.7s,16.762152,DEL
177,HAT-P-24,b,07h15m18.01s,7.255003866666668,+14d15m45.4s,14.262599,GEM
178,HAT-P-25,b,03h13m44.50s,3.2290279333333336,+25d11m50.7s,25.197405,ARI
179,HAT-P-26,b,14h12m37.53s,14.210425533333336,+04d03m36.0s,4.059997,VIR
180,HAT-P-27,b,14h51m04.18s,14.851162399999998,+05d56m50.5s,5.947368,VIR
181,HAT-P-28,b,00h52m00.18s,0.8667177333333334,+34d43m42.3s,34.728413,AND
182,HAT-P-29,b,02h12m31.47s,2.2087428,+51d46m43.5s,51.778759,PER
183,HAT-P-3,b,13h44m22.59s,13.739608066666667,+48d01m43.2s,48.028667,UMA
184,HAT-P-30,b,08h15m47.97s,8.263326266666667,+05d50m12.2s,5.836719,HYA
185,HAT-P-31,b,18h06m09.05s,18.102513666666667,+26d25m36.0s,26.426662,HER
186,HAT-P-32,b,02h04m10.28s,2.0695232,+46d41m16.2s,46.687836,AND
187,HAT-P-33,b,07h32m44.21s,7.545614133333332,+33d50m06.2s,33.835052000000005,GEM
188,HAT-P-34,b,20h12m46.88s,20.2130228,+18d06m17.5s,18.104868,SGE
189,HAT-P-35,b,08h13m00.18s,8.216717599999999,+04d47m13.3s,4.7870230000000005,HYA
190,HAT-P-36,b,12h33m03.90s,12.551083666666667,+44d54m55.3s,44.915352,CVN
191,HAT-P-37,b,18h57m11.06s,18.953070933333333,+51d16m08.9s,51.269138,DRA
192,HAT-P-38,b,02h21m31.98s,2.358882266666667,+32d14m46.1s,32.246151,TRI
193,HAT-P-39,b,07h35m01.98s,7.583883133333333,+17d49m48.3s,17.830082,GEM
194,HAT-P-4,b,15h19m57.92s,15.332756933333336,+36d13m46.8s,36.229664,BOO
195,HAT-P-40,b,22h22m03.09s,22.367524066666665,+45d27m26.6s,45.45737800000001,LAC
196,HAT-P-41,b,19h49m17.44s,19.82151006666666,+04d40m20.7s,4.672421,AQL
197,HAT-P-42,b,09h01m22.65s,9.0229594,+06d05m50.0s,6.0972300000000015,HYA
198,HAT-P-43,b,08h35m42.18s,8.595049133333333,+10d12m24.0s,10.206653,CNC
199,HAT-P-44,b,14h12m34.58s,14.209604933333335,+47d00m52.9s,47.014687,BOO
200,HAT-P-44,c,14h12m34.58s,14.209604933333335,+47d00m52.9s,47.014687,BOO
201,HAT-P-45,b,18h17m29.58s,18.2915492,-03d22m51.7s,-3.381036,SER2
202,HAT-P-46,b,18h01m46.61s,18.0296134,-02d58m15.4s,-2.9709470000000002,SER2
203,HAT-P-49,b,20h21m45.94s,20.3627598,+26d41m33.5s,26.692652000000002,VUL
204,HAT-P-5,b,18h17m37.31s,18.2936984,+36d37m17.1s,36.62141,LYR
205,HAT-P-50,b,07h52m15.22s,7.870894066666668,+12d08m21.9s,12.13941,CMI
206,HAT-P-51,b,01h24m15.65s,1.404346,+32d48m38.8s,32.810764,PSC
207,HAT-P-52,b,02h50m53.20s,2.848111933333333,+29d01m20.6s,29.022396,ARI
208,HAT-P-53,b,01h27m29.07s,1.4580736666666667,+38d58m05.3s,38.968146999999995,AND
209,HAT-P-54,b,06h39m35.52s,6.6598668666666665,+25d28m57.1s,25.48254,GEM
210,HAT-P-55,b,17h37m05.63s,17.6182298,+25d43m52.3s,25.731185999999997,HER
211,HAT-P-56,b,06h43m23.53s,6.723202533333334,+27d15m08.3s,27.252292999999998,GEM
212,HAT-P-57,b,18h18m58.42s,18.316228066666667,+10d35m50.3s,10.597294,OPH
213,HAT-P-6,b,23h39m05.81s,23.6516148,+42d27m57.5s,42.465973,AND
214,HAT-P-65,b,21h03m37.32s,21.0603658,+11d59m21.9s,11.989403999999999,EQU
215,HAT-P-66,b,10h02m17.43s,10.038175466666667,+53d57m03.1s,53.950863,UMA
216,HAT-P-67,b,17h06m26.56s,17.107379133333332,+44d46m37.1s,44.776981,HER
217,HAT-P-7,b,19h28m59.35s,19.483154000000006,+47d58m10.2s,47.969513,CYG
218,HAT-P-8,b,22h52m09.86s,22.869404466666666,+35d26m49.6s,35.44710900000001,PEG
219,HAT-P-9,b,07h20m40.45s,7.3445686000000014,+37d08m26.3s,37.140652,AUR
220,HATS-1,b,11h42m06.08s,11.701689066666667,-23d21m17.4s,-23.354836,CRT
221,HATS-10,b,19h37m13.64s,19.620454199999998,-22d12m16.1s,-22.204477,SGR
222,HATS-11,b,19h17m36.18s,19.2933838,-22d23m23.7s,-22.389927,SGR
223,HATS-12,b,19h16m48.57s,19.280159533333336,-19d21m21.3s,-19.355907000000002,SGR
224,HATS-13,b,21h07m50.75s,21.130764333333328,-26d05m48.0s,-26.096655,CAP
225,HATS-14,b,20h52m51.71s,20.881031933333333,-25d41m14.4s,-25.687334,CAP
226,HATS-15,b,20h44m22.07s,20.739464066666667,-19d26m15.0s,-19.43751,CAP
227,HATS-16,b,23h54m14.09s,23.903914,-30d00m46.8s,-30.012999,SCL
228,HATS-17,b,12h48m45.55s,12.812653266666667,-47d36m49.3s,-47.613693,CEN
229,HATS-18,b,11h35m49.78s,11.597159799999998,-29d09m21.6s,-29.156012,HYA
230,HATS-2,b,11h46m57.38s,11.782606266666667,-22d33m46.8s,-22.562992,CRT
231,HATS-22,b,11h36m02.33s,11.600648,-29d32m35.9s,-29.543312,HYA
232,HATS-23,b,19h05m28.01s,19.091113266666667,-50d04m02.5s,-50.067352,TEL
233,HATS-24,b,17h55m33.76s,17.926045733333332,-61d44m50.3s,-61.747310999999996,PAV
234,HATS-25,b,13h51m37.87s,13.860518466666667,-23d46m52.2s,-23.781174,HYA
235,HATS-26,b,09h39m42.45s,9.661790866666667,-28d35m08.1s,-28.585590000000003,ANT
236,HATS-27,b,12h54m12.61s,12.903504,-46d35m15.8s,-46.587715,CEN
237,HATS-28,b,18h57m35.92s,18.959979,-49d08m18.5s,-49.13847,TEL
238,HATS-29,b,19h00m23.14s,19.006428266666667,-54d53m35.5s,-54.893192000000006,TEL
239,HATS-3,b,20h49m49.79s,20.830496,-24d25m43.7s,-24.428793,CAP
240,HATS-30,b,00h22m28.49s,0.3745795333333334,-59d56m33.2s,-59.942551,TUC
241,HATS-31,b,12h46m48.67s,12.780185933333335,-24d25m38.5s,-24.427364,HYA
242,HATS-32,b,23h04m18.02s,23.07167153333333,-21d16m19.0s,-21.271938000000002,AQR
243,HATS-33,b,19h38m32.07s,19.6422424,-55d19m48.4s,-55.330105,TEL
244,HATS-34,b,00h03m05.88s,0.051632333333333336,-62d28m09.6s,-62.469341,TUC
245,HATS-35,b,19h46m45.18s,19.779217533333334,-63d33m56.2s,-63.565608999999995,PAV
246,HATS-4,b,06h16m26.90s,6.274138333333332,-22d32m48.8s,-22.546885,CMA
247,HATS-5,b,04h28m53.49s,4.481524733333333,-21d28m54.9s,-21.481916000000002,ERI
248,HATS-6,b,05h52m35.23s,5.8764531333333325,-19d01m54.0s,-19.031655999999998,LEP
249,HATS-8,b,19h39m46.02s,19.662783066666673,-25d44m53.9s,-25.748317999999998,SGR
250,HATS-9,b,19h23m14.42s,19.387340266666676,-20d09m58.7s,-20.166317000000006,SGR
251,HD 100546,b,11h33m25.44s,11.557066866666668,-70d11m41.2s,-70.194786,MUS
252,HD 100655,b,11h35m03.75s,11.584375999999999,+20d26m29.6s,20.441545,LEO
253,HD 100777,b,11h35m51.52s,11.597645066666667,-04d45m20.5s,-4.7556970000000005,LEO
254,HD 10180,c,01h37m53.58s,1.631548933333333,-60d30m41.5s,-60.51152800000001,HYI
255,HD 10180,d,01h37m53.58s,1.631548933333333,-60d30m41.5s,-60.51152800000001,HYI
256,HD 10180,e,01h37m53.58s,1.631548933333333,-60d30m41.5s,-60.51152800000001,HYI
257,HD 10180,f,01h37m53.58s,1.631548933333333,-60d30m41.5s,-60.51152800000001,HYI
258,HD 10180,g,01h37m53.58s,1.631548933333333,-60d30m41.5s,-60.51152800000001,HYI
259,HD 10180,h,01h37m53.58s,1.631548933333333,-60d30m41.5s,-60.51152800000001,HYI
260,HD 101930,b,11h43m30.11s,11.725030533333333,-58d00m24.8s,-58.006886,CEN
261,HD 102117,b,11h44m50.46s,11.747350066666666,-58d42m13.4s,-58.703708999999996,CEN
262,HD 102195,b,11h45m42.29s,11.761748266666665,+02d49m17.3s,2.821483,VIR
263,HD 102272,b,11h46m23.54s,11.773204533333333,+14d07m26.4s,14.123985999999999,LEO
264,HD 102329,b,11h46m46.64s,11.7796234,+03d28m27.5s,3.474293,VIR
265,HD 102365,b,11h46m31.07s,11.775298066666664,-40d30m01.3s,-40.500355,CEN
266,HD 102956,b,11h51m22.51s,11.856253066666666,+57d38m26.6s,57.640736,UMA
267,HD 103197,b,11h52m52.98s,11.881383266666667,-50d17m34.2s,-50.292823999999996,CEN
268,HD 103720,b,11h56m41.18s,11.944773333333336,-02d46m44.2s,-2.778953,VIR
269,HD 103774,b,11h56m55.59s,11.9487752,-12d06m28.5s,-12.107909,CRV
270,HD 104067,b,11h59m10.01s,11.986113466666668,-20d21m13.6s,-20.353781,CRV
271,HD 10442,b,01h41m53.15s,1.6980971333333337,+02d42m15.8s,2.704376,PSC
272,HD 104985,b,12h05m15.12s,12.087532533333333,+76d54m20.6s,76.905731,CAM
273,HD 106252,b,12h13m29.51s,12.224863666666668,+10d02m29.9s,10.041638,VIR
274,HD 106270,b,12h13m37.28s,12.227023333333333,-09d30m48.2s,-9.513380999999999,VIR
275,HD 106315,b,12h13m53.39s,12.2314982,-00d23m36.5s,-0.393484,VIR
276,HD 106315,c,12h13m53.39s,12.2314982,-00d23m36.5s,-0.393484,VIR
277,HD 10647,b,01h42m29.32s,1.7081432666666667,-53d44m27.0s,-53.740832999999995,ERI
278,HD 106515 A,b,12h15m06.57s,12.251823933333334,-07d15m26.4s,-7.257327,VIR
279,HD 106906,b,12h17m53.19s,12.298108933333333,-55d58m31.9s,-55.975525,CRU
280,HD 10697,b,01h44m55.82s,1.7488402000000005,+20d04m59.3s,20.083149,PSC
281,HD 107148,b,12h19m13.49s,12.320414199999998,-03d19m11.2s,-3.319789,VIR
282,HD 108147,b,12h25m46.27s,12.429518666666667,-64d01m19.5s,-64.022087,CRU
283,HD 108341,b,12h27m31.39s,12.458719866666666,-71d25m22.7s,-71.422974,MUS
284,HD 108863,b,12h30m19.91s,12.5055308,+21d56m53.7s,21.948244,COM
285,HD 108874,b,12h30m26.88s,12.507467666666665,+22d52m47.4s,22.879829,COM
286,HD 108874,c,12h30m26.88s,12.507467666666665,+22d52m47.4s,22.879829,COM
287,HD 109246,b,12h32m07.19s,12.5353302,+74d29m22.4s,74.489548,DRA
288,HD 109271,b,12h33m35.56s,12.559876533333332,-11d37m18.7s,-11.621868,VIR
289,HD 109271,c,12h33m35.56s,12.559876533333332,-11d37m18.7s,-11.621868,VIR
290,HD 109749,b,12h37m16.38s,12.621215800000002,-40d48m43.6s,-40.81211500000001,CEN
291,HD 110014,b,12h39m14.77s,12.654101533333332,-07d59m44.0s,-7.995564,VIR
